Date,Date,ENGIE,EDF,RWE,EON,INNOGY,UNIPER,Percent_ENGIE,Percent_EDF,Percent_RWE,Percent_EON,Percent_INNOGY,Percent_UNIPER
2018-09-10,2018-09-10,12.205,14.475,21.67,8.85,37.67,26.01,0.9070977331846897,1.3040540540540542,1.078646092583375,0.9831148633636968,0.9754013464526153,1.0974683544303798
2018-09-11,2018-09-11,12.495,14.825,22.14,9.087,37.81,26.66,0.9286510590858417,1.3355855855855856,1.1020408163265307,1.009442346145301,0.9790264111859142,1.1248945147679326
2018-09-12,2018-09-12,12.41,14.745,22.3,8.95,37.87,26.72,0.9223337049424006,1.3283783783783782,1.1100049776007965,0.9942235058875803,0.9805800103573278,1.1274261603375528
2018-09-13,2018-09-13,12.41,14.775,21.5,8.799,37.97,26.55,0.9223337049424006,1.3310810810810811,1.0701841712294673,0.9774494556765162,0.9831693423096841,1.120253164556962
2018-09-14,2018-09-14,12.4,14.37,21.55,8.861,37.96,26.34,0.9215904868078781,1.2945945945945945,1.0726729716276755,0.9843368140413241,0.9829104091144486,1.111392405063291
2018-09-17,2018-09-17,12.38,14.55,21.46,8.73,37.81,26.2,0.9201040505388332,1.310810810810811,1.068193130910901,0.9697844923350366,0.9790264111859142,1.1054852320675106
2018-09-18,2018-09-18,12.44,14.93,21.69,8.898,38.0,26.38,0.924563359345968,1.345045045045045,1.079641612742658,0.9884470117751609,0.9839461418953911,1.1130801687763714
2018-09-19,2018-09-19,12.43,14.94,21.75,8.916,38.1,26.51,0.9238201412114455,1.345945945945946,1.0826281732205076,0.9904465674294601,0.9865354738477474,1.118565400843882
2018-09-20,2018-09-20,12.2,14.84,21.35,8.636000000000001,38.02,26.09,0.9067261241174284,1.336936936936937,1.0627177700348434,0.9593423683625861,0.9844640082858624,1.10084388185654
2018-09-21,2018-09-21,12.365,15.17,21.45,8.735,38.2,26.1,0.9189892233370495,1.3666666666666667,1.0676953708312593,0.9703399244612307,0.9891248058001038,1.1012658227848102
2018-09-24,2018-09-24,12.555,15.32,21.27,8.974,38.36,26.25,0.9331103678929765,1.3801801801801803,1.0587356893977102,0.9968895800933125,0.9932677369238737,1.1075949367088609
2018-09-25,2018-09-25,12.415,15.34,21.04,8.914,38.26,26.68,0.9227053140096617,1.381981981981982,1.0472872075659532,0.9902243945789824,0.9906784049715174,1.1257383966244725
2018-09-26,2018-09-26,12.255,15.585,21.22,8.84,38.34,27.18,0.9108138238573021,1.4040540540540543,1.0562468889995023,0.9820039991113085,0.9927498705334026,1.1468354430379748
2018-09-27,2018-09-27,12.405,15.285,21.4,8.88,38.43,26.62,0.9219620958751393,1.377027027027027,1.0652065704330511,0.986447456120862,0.9950802692905231,1.1232067510548525
2018-09-28,2018-09-28,12.5,15.13,21.69,8.875,38.44,26.51,0.929022668153103,1.3630630630630631,1.079641612742658,0.9858920239946678,0.9953392024857587,1.118565400843882
2018-10-01,2018-10-01,12.665,15.115,21.2,8.751,38.51,26.51,0.9412857673727238,1.3617117117117117,1.055251368840219,0.9721173072650521,0.997151734852408,1.118565400843882
2018-10-02,2018-10-02,12.6,15.025,20.92,8.676,38.43,26.39,0.9364548494983277,1.3536036036036037,1.041314086610254,0.9637858253721394,0.9950802692905231,1.1135021097046414
